NO,共通ID,都道府県名及び市町村名,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
46937,E2020100146201,長野県長野市,川中島古戦場史跡公園,長野県長野市小島田町1384-1,,1,,1,,1,,,,36.59027143,138.18795,
46938,E2020100147201,長野県長野市,長野市立寺尾小学校,長野県長野市松代町柴260,,1,,1,,,,,1,36.59226352,138.1994812,
46939,E2020100148201,長野県長野市,長野市立松代小学校,長野県長野市松代町松代205-1,,1,,1,,,,,1,36.56375193,138.1952094,
46940,E2020100149201,長野県長野市,長野市立松代中学校,長野県長野市松代町松代207,,1,,1,,1,,,1,36.568676510741,138.19909917864,
46941,E2020100150201,長野県長野市,松代城公園,長野県長野市松代町松代35,,1,,1,,1,,,,36.56597757,138.1961971,
46942,E2020100151201,長野県長野市,旧清野小学校,長野県長野市松代町清野64,,1,,1,,,,,1,36.56233963,138.1743128,
46943,E2020100152201,長野県長野市,青垣公園,長野県長野市松代町西条3837,,1,,1,,,,,,36.55371666,138.20253333,
46944,E2020100153201,長野県長野市,松代体育館,長野県長野市松代町西条3838,,1,,1,,,,,1,36.5530522,138.2027866,
46945,E2020100154201,長野県長野市,長野市立西条小学校,長野県長野市松代町西条4,1,1,,1,,,,,1,36.549017456438,138.1993366411,
46946,E2020100155201,長野県長野市,長野県松代高等学校,長野県長野市松代町西条4065,1,1,,1,,,,,1,36.55456747,138.2055017,
46947,E2020100156201,長野県長野市,長野県農業大学校,長野県長野市松代町大室3700,1,,,1,,,,,1,36.584390802589,138.22142618249,
46948,E2020100157201,長野県長野市,長野市立東条小学校,長野県長野市松代町東条2427,1,1,,1,,,,,1,36.56234944,138.2127257,
46949,E2020100158201,長野県長野市,長野市立豊栄小学校,長野県長野市松代町豊栄2787,1,1,,1,,,,,1,36.54297827,138.2303289,
46950,E2020100159201,長野県長野市,長野県長野高等学校グラウンド,長野県長野市上松1-16-12,1,1,,1,,,,,,36.66986049,138.1987848,
46951,E2020100160201,長野県長野市,長野市立湯谷小学校,長野県長野市上松4-28-38,1,1,,1,,,,,1,36.674693114131,138.2026341602,
46952,E2020100161201,長野県長野市,文化学園長野中学・高等学校グラウンド,長野県長野市上千田141,,1,,1,,,,,,36.63291706,138.2028106,
46953,E2020100162202,長野県長野市,昭和の森公園フィットネスセンター,長野県長野市上野2-120-13,1,1,,1,,,,,1,36.68537499,138.23486666,
46954,E2020100162201,長野県長野市,昭和の森公園,長野県長野市上野2-120-13,1,1,,1,,1,,,1,36.68532037,138.2352768,
46955,E2020100163201,長野県長野市,長野市信更公民館分室（／星空の郷たかの）,長野県長野市信更町高野1590,1,1,,,,,,,1,36.54874024,138.0348477,
46956,E2020100163202,長野県長野市,星空の郷たかの（／信更公民館分室）,長野県長野市信更町高野1590,1,1,,,,,,,1,36.548722,138.034917,
46957,E2020100164201,長野県長野市,旧更府小学校,長野県長野市信更町上尾2200,1,1,,1,,,,,1,36.581312519507,138.05660537056,
46958,E2020100165201,長野県長野市,旧信更小学校,長野県長野市信更町田野口1082,1,1,,1,,,,,1,36.56288404,138.0770267,
46959,E2020100166201,長野県長野市,長野市立信更中学校,長野県長野市信更町氷ノ田3273,1,1,,1,,,,,1,36.57117459,138.0683003,
46960,E2020100167201,長野県長野市,本村公民館,長野県長野市信州新町越道1111,1,,,,,,,,1,36.59654173,137.99857,
46961,E2020100168201,長野県長野市,万福寺,長野県長野市信州新町越道477,1,1,,,,,,,1,36.59260610174,138.00149083753,
46962,E2020100169201,長野県長野市,長野県篠ノ井高等学校犀峡校,長野県長野市信州新町下市場70,1,1,,1,,,,,1,36.56209,137.9935859,
46963,E2020100170201,長野県長野市,下中山生活改善センター,長野県長野市信州新町弘崎1857-1,1,1,,1,,,,,1,36.53981047,137.9883306,
46964,E2020100172201,長野県長野市,枌の木公民館,長野県長野市信州新町山上条3183-2,1,,,,,,,,1,36.59595738,138.0156117,
46965,E2020100173201,長野県長野市,峰組公民館,長野県長野市信州新町山上条6400-2,1,1,,,,,,,1,36.593890503826,138.02388713781,
46966,E2020100171201,長野県長野市,津和コミュニティーセンター,長野県長野市信州新町山上条１３７６－イ,,,,1,,,,,1,36.582183218281,137.99982235853,
46967,E2020100174201,長野県長野市,南部構造改善センター,長野県長野市信州新町山穂刈6069-1,1,,,1,,,,,1,36.57707518,137.9820416,
46968,E2020100175201,長野県長野市,信級公民館,長野県長野市信州新町信級1261,1,,,,,,,,,36.55315302,137.9422869,
46969,E2020100176202,長野県長野市,信州新町体育館,長野県長野市信州新町新町1000-1,,1,,1,,,,,1,36.56755837,138.006694,
46970,E2020100176201,長野県長野市,信州新町運動場,長野県長野市信州新町新町1000-1,,,,1,,1,,,1,36.56744722,138.00761944,
46971,E2020100177201,長野県長野市,長野市立信州新町中学校,長野県長野市信州新町新町1006,,1,,1,,1,,,1,36.566089881153,138.0066827584,
46972,E2020100178201,長野県長野市,長野市立信州新町小学校,長野県長野市信州新町新町630-1,,1,,1,,,,,1,36.571454090381,138.00949168662,
46973,E2020100179201,長野県長野市,水内公民館,長野県長野市信州新町水内3718-2,1,,,,,,,,1,36.57730454,138.0481217,
46974,E2020100180201,長野県長野市,竹房交流センター,長野県長野市信州新町竹房1025-1,1,,,1,,,,,1,36.56559,138.01316,
46975,E2020100181201,長野県長野市,信州新町信州犀川交流センター,長野県長野市信州新町日原西2287,,1,,1,,,,,1,36.54881800177,137.97431560862,
46976,E2020100182201,長野県長野市,牧郷研修センター,長野県長野市信州新町牧田中2195-3,1,1,,1,,,,,1,36.550443800827,137.99701813738,
46977,E2020100183201,長野県長野市,牧野島公民館,長野県長野市信州新町牧野島167-2,1,1,,,,,,,1,36.560889112675,138.00055328885,
46978,E2020100184201,長野県長野市,信州新町保育園,長野県長野市信州新町里穂刈423-1,1,,,1,,,,,1,36.567884575692,138.00178052186,
46979,E2020100185201,長野県長野市,長野市立西部中学校,長野県長野市新諏訪1-4-1,1,1,,1,,,,,1,36.65753298,138.1744533,
46980,E2020100186201,長野県長野市,長野市立真島小学校,長野県長野市真島町真島1425,,1,,1,,,,,1,36.60624869,138.2088211,
46981,E2020100187201,長野県長野市,アクアパル千曲運動広場,長野県長野市真島町川合1060-1,,1,,1,,,,,,36.61113901,138.2211184,
46982,E2020100188201,長野県長野市,信州大学教育学部グラウンド,長野県長野市西長野６の口,,1,,1,,,,,,36.65736035,138.1798011,
46983,E2020100189201,長野県長野市,和田公園,長野県長野市西和田2-26-1,,1,,1,,,,,,36.65746885,138.2164804,
46984,E2020100190201,長野県長野市,長野市立青木島小学校,長野県長野市青木島町大塚1394,1,1,,1,,,,,1,36.61335236,138.1850717,
46985,E2020100191201,長野県長野市,長野市立更北中学校,長野県長野市青木島町大塚51,,1,,1,,,,,1,36.605031215022,138.19194454457,
46986,E2020100192201,長野県長野市,ドリームモータースクール昭和,長野県長野市川中島町原639,,1,,1,,,,,,36.5837814,138.1510771,
46987,E2020100193201,長野県長野市,御厨公園,長野県長野市川中島町御厨562,,1,,1,,,,,,36.59326132,138.1629957,
46988,E2020100194201,長野県長野市,長野市立川中島中学校,長野県長野市川中島町今井1360,1,1,,1,,,,,1,36.60187784,138.1527932,
46989,E2020100195201,長野県長野市,川中島町公民館,長野県長野市川中島町今井1762-1,1,1,,1,,,,,1,36.599135461277,138.15677532733,
46990,E2020100196201,長野県長野市,長野市立昭和小学校,長野県長野市川中島町今井1865,1,1,,1,,,,,1,36.59175316,138.1533134,
46991,E2020100197201,長野県長野市,川中島体育館,長野県長野市川中島町上氷鉋17-1,,1,,1,,,,,1,36.60479475,138.1555924,
